nombre,fecha y hora,tempmáx,tempmín,temp,sensación térmica máxima,sensación térmica mínima,sensación térmica,rocío,humedad,precipitación,probabilidad de precipitación,cobertura de precipitación,tipo de precipitación,nieve,profundidad de nieve,ráfaga de viento,velocidad del viento,dirección del viento,presión del nivel del mar,nubosidad,visibilidad,radiación solar,energía solar,índice UV,riesgo severo,amanecer,atardecer,fase lunar,condiciones,descripción,icono,estaciones
Houston,2024-01-13,62.8,41.7,52.1,62.8,37.3,50.4,31.7,46.9,0.0,0,0.0,,0,0,26.9,17.4,162.5,1017.7,51.4,9.9,49.3,4.2,6,,2024-01-13T07:18:06,2024-01-13T17:42:29,0.08,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-01-14,55.1,34.3,45.0,55.1,24.0,39.7,33.1,63.9,0.0,0,0.0,,0,0,24.0,17.9,342.5,1018.8,66.6,9.8,80.0,7.0,6,,2024-01-14T07:18:01,2024-01-14T17:43:20,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-01-15,32.7,25.0,27.7,21.8,9.1,15.3,25.2,90.8,0.008,100,8.33,"rain,snow",0,0,34.5,25.9,347.5,1019.8,97.8,5.9,10.9,1.0,0,,2024-01-15T07:17:54,2024-01-15T17:44:10,0.15,"Snow, Rain, Overcast",Cloudy skies throughout the day with morning rain or snow.,rain,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-01-16,30.8,18.0,25.1,23.2,1.0,12.1,11.3,57.2,0.0,0,0.0,,0,0,39.7,25.2,347.0,1027.6,45.8,9.9,65.7,5.6,6,,2024-01-16T07:17:45,2024-01-16T17:45:01,0.18,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-01-17,42.8,23.2,33.6,39.0,15.2,27.3,22.1,63.1,0.0,0,0.0,,0,0,20.8,15.6,100.4,1025.9,62.5,9.6,82.0,7.0,6,,2024-01-17T07:17:34,2024-01-17T17:45:53,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
Houston,2024-01-18,62.7,41.4,54.6,62.7,40.0,54.0,51.9,91.1,0.002,100,4.17,rain,0,0,19.9,10.8,248.3,1015.7,76.3,6.2,37.0,3.2,2,,2024-01-18T07:17:22,2024-01-18T17:46:44,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-01-19,59.4,39.5,49.3,59.4,30.9,45.9,32.1,54.1,0.0,0,0.0,,0,0,33.3,20.0,0.2,1024.9,41.8,9.3,64.5,5.5,6,,2024-01-19T07:17:09,2024-01-19T17:47:36,0.29,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-01-20,45.1,30.6,38.6,42.5,19.5,31.6,16.0,40.4,0.0,0,0.0,,0,0,25.6,15.8,37.1,1031.3,52.5,9.9,56.4,4.7,6,,2024-01-20T07:16:53,2024-01-20T17:48:28,0.32,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-01-21,43.0,36.0,39.5,35.0,26.2,31.7,24.8,56.7,0.033,100,8.33,rain,0,0,34.4,21.6,95.0,1027.9,99.2,9.5,27.4,2.3,1,,2024-01-21T07:16:36,2024-01-21T17:49:20,0.36,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,D0326"
Houston,2024-01-22,64.5,44.5,56.9,64.5,36.3,55.6,56.3,98.0,0.895,100,58.33,rain,0,0,34.2,27.8,133.5,1017.6,99.1,2.9,5.2,0.4,0,,2024-01-22T07:16:18,2024-01-22T17:50:12,0.39,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-01-23,70.0,62.4,66.0,70.0,62.4,66.0,65.6,98.5,0.297,100,25.0,rain,0,0,25.3,17.9,147.0,1014.4,100.0,2.1,15.5,1.4,1,,2024-01-23T07:15:58,2024-01-23T17:51:04,0.43,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-01-24,68.0,61.0,62.6,68.0,61.0,62.6,62.1,98.0,1.26,100,70.83,rain,0,0,32.6,19.7,91.9,1015.1,96.5,5.4,13.5,1.2,1,,2024-01-24T07:15:36,2024-01-24T17:51:56,0.47,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-01-25,70.3,55.8,62.6,70.3,55.8,62.6,56.4,81.7,0.51,100,29.17,rain,0,0,31.1,19.1,357.7,1016.2,36.0,8.4,112.2,9.7,7,,2024-01-25T07:15:12,2024-01-25T17:52:49,0.5,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-01-26,62.8,53.7,58.3,62.8,53.7,58.3,57.7,97.7,0.668,100,29.17,rain,0,0,18.6,11.6,43.6,1015.0,90.6,3.3,28.8,2.4,2,,2024-01-26T07:14:48,2024-01-26T17:53:41,0.53,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-01-27,59.3,50.0,55.7,59.3,50.0,55.7,50.4,82.8,0.0,0,0.0,,0,0,35.5,19.5,320.6,1020.2,85.0,8.8,38.2,3.5,2,,2024-01-27T07:14:21,2024-01-27T17:54:33,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-01-28,61.3,41.3,52.0,61.3,34.6,49.4,37.4,62.1,0.0,0,0.0,,0,0,25.3,18.0,330.0,1027.2,9.7,9.7,92.7,8.0,7,,2024-01-28T07:13:53,2024-01-28T17:55:25,0.6,Clear,Clear conditions throughout the day.,clear-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,D0326"
Houston,2024-01-29,68.2,47.6,57.3,68.2,43.7,57.1,36.8,48.3,0.0,0,0.0,,0,0,20.8,11.4,265.3,1026.6,15.9,9.9,127.0,11.1,7,,2024-01-29T07:13:23,2024-01-29T17:56:17,0.63,Clear,Clear conditions throughout the day.,clear-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
Houston,2024-01-30,70.3,51.4,60.5,70.3,51.4,60.5,40.4,49.5,0.0,0,0.0,,0,0,23.0,16.4,263.7,1023.0,40.0,9.9,117.0,10.0,7,,2024-01-30T07:12:52,2024-01-30T17:57:09,0.66,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,D0326"
Houston,2024-01-31,73.6,53.1,63.2,73.6,53.1,63.2,43.0,49.7,0.0,0,0.0,,0,0,19.7,15.8,262.1,1022.3,38.8,9.9,97.1,8.4,5,,2024-01-31T07:12:20,2024-01-31T17:58:00,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-02-01,68.3,55.2,62.5,68.3,55.2,62.5,50.1,65.2,0.0,0,0.0,,0,0,21.9,13.7,165.4,1018.9,50.0,9.9,67.8,5.9,4,10.0,2024-02-01T07:11:46,2024-02-01T17:58:52,0.73,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-02-02,72.0,57.0,64.3,72.0,57.0,64.3,60.3,88.1,0.003,100,4.17,rain,0,0,31.1,22.4,137.5,1011.4,84.5,6.5,36.2,3.0,2,10.0,2024-02-02T07:11:11,2024-02-02T17:59:43,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-02-03,70.0,59.0,63.1,70.0,59.0,63.1,55.5,79.2,1.277,100,50.0,rain,0,0,41.4,22.8,193.0,1003.3,52.0,7.1,109.5,9.4,7,10.0,2024-02-03T07:10:34,2024-02-03T18:00:34,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
Houston,2024-02-04,68.3,56.9,61.1,68.3,56.9,61.1,41.8,50.4,0.0,0,0.0,,0,0,48.3,38.9,296.2,1002.8,30.9,9.7,101.5,8.8,7,10.0,2024-02-04T07:09:56,2024-02-04T18:01:24,0.83,Partially cloudy,Clearing in the afternoon.,wind,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-02-05,63.1,54.0,57.9,63.1,54.0,57.9,46.5,66.2,0.0,0,0.0,,0,0,34.2,28.3,335.0,1014.1,62.2,9.9,134.4,11.6,7,10.0,2024-02-05T07:09:16,2024-02-05T18:02:15,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-02-06,70.1,49.7,59.0,70.1,45.2,58.6,39.0,51.2,0.0,0,0.0,,0,0,20.8,13.0,348.5,1019.8,8.6,9.9,111.2,9.6,8,10.0,2024-02-06T07:08:35,2024-02-06T18:03:05,0.89,Clear,Clear conditions throughout the day.,clear-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,D0326"
Houston,2024-02-07,68.3,51.1,61.2,68.3,51.1,61.2,47.7,62.0,0.0,0,0.0,,0,0,31.7,23.2,150.6,1016.7,61.0,9.9,79.3,7.0,9,10.0,2024-02-07T07:07:53,2024-02-07T18:03:55,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
Houston,2024-02-08,73.5,64.2,67.8,73.5,64.2,67.8,59.7,76.0,0.0,0,0.0,,0,0,26.4,16.9,158.3,1015.1,85.3,9.2,55.3,4.9,3,10.0,2024-02-08T07:07:09,2024-02-08T18:04:44,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
Houston,2024-02-09,75.6,65.4,69.5,75.6,65.4,69.5,64.0,83.9,0.0,0,0.0,,0,0,26.4,18.3,166.1,1014.4,95.0,8.4,72.9,6.3,3,10.0,2024-02-09T07:06:24,2024-02-09T18:05:33,0.0,Overcast,Cloudy skies throughout the day.,cloudy,"KHOU,72059400188,KIAH,72244012918,KMCJ,72243012960,D0326"
Houston,2024-02-10,73.6,66.3,69.8,73.6,66.3,69.8,67.0,91.3,0.056,100,12.5,rain,0,0,35.7,18.5,177.1,1010.2,96.1,5.4,42.7,3.6,2,10.0,2024-02-10T07:05:38,2024-02-10T18:06:22,0.03,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-02-11,75.8,53.8,67.2,75.8,53.8,67.2,62.6,86.4,0.027,100,4.17,rain,0,0,34.1,21.9,262.3,1006.7,82.3,6.0,94.5,8.1,6,60.0,2024-02-11T07:04:51,2024-02-11T18:07:11,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-02-12,59.3,44.8,51.3,59.3,35.6,48.1,35.8,57.5,0.0,0,0.0,,0,0,40.9,26.6,316.3,1016.3,39.1,9.9,120.5,10.5,8,10.0,2024-02-12T07:04:03,2024-02-12T18:07:59,0.1,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-02-13,66.5,47.3,55.5,66.5,46.5,55.3,35.2,48.4,0.0,0,0.0,,0,0,19.7,14.0,181.6,1021.8,25.1,9.8,115.3,10.0,8,10.0,2024-02-13T07:03:13,2024-02-13T18:08:46,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-02-14,64.6,49.3,56.9,64.6,45.5,56.7,44.6,65.0,0.0,0,0.0,,0,0,20.8,14.3,141.4,1021.7,49.4,9.8,109.6,9.5,8,10.0,2024-02-14T07:02:22,2024-02-14T18:09:34,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-02-15,71.8,57.3,63.8,71.8,57.3,63.8,57.0,79.3,0.0,0,0.0,,0,0,13.0,12.6,149.0,1020.3,87.2,9.6,66.4,5.7,3,10.0,2024-02-15T07:01:30,2024-02-15T18:10:21,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-02-16,66.5,62.5,64.0,66.5,62.5,64.0,61.0,90.3,0.068,100,20.83,rain,0,0,32.2,19.8,183.0,1015.3,72.7,8.1,41.5,3.6,2,10.0,2024-02-16T07:00:37,2024-02-16T18:11:07,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-02-17,62.7,41.3,48.1,62.7,34.8,42.7,36.5,64.4,0.0,0,0.0,,0,0,34.7,25.1,356.7,1019.7,61.7,9.9,41.3,3.4,2,10.0,2024-02-17T06:59:43,2024-02-17T18:11:54,0.27,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-02-18,55.8,35.8,45.4,55.8,27.4,41.6,24.0,45.1,0.0,0,0.0,,0,0,21.9,14.5,345.4,1023.1,33.8,9.9,121.2,10.4,8,10.0,2024-02-18T06:58:48,2024-02-18T18:12:39,0.3,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-02-19,64.5,44.4,53.6,64.5,43.9,53.2,31.9,45.4,0.0,0,0.0,,0,0,26.4,16.4,180.7,1022.1,23.9,9.9,120.8,10.6,8,10.0,2024-02-19T06:57:52,2024-02-19T18:13:25,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-02-20,75.6,54.6,63.9,75.6,54.6,63.9,54.8,74.6,0.0,0,0.0,,0,0,23.0,13.2,208.6,1023.0,8.3,9.5,121.7,10.5,8,10.0,2024-02-20T06:56:55,2024-02-20T18:14:10,0.37,Clear,Clear conditions throughout the day.,clear-day,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-02-21,73.9,60.1,66.3,73.9,60.1,66.3,59.1,79.6,0.0,0,0.0,,0,0,34.6,23.3,178.5,1019.8,51.7,8.5,119.7,10.3,8,10.0,2024-02-21T06:55:58,2024-02-21T18:14:54,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,D0326"
Houston,2024-02-22,73.8,64.6,69.0,73.8,64.6,69.0,61.0,76.2,0.0,0,0.0,,0,0,27.4,16.1,215.0,1011.5,71.4,8.8,93.1,8.0,6,10.0,2024-02-22T06:54:59,2024-02-22T18:15:38,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
Houston,2024-02-23,75.5,60.6,67.9,75.5,60.6,67.9,41.5,42.4,0.0,0,0.0,,0,0,32.8,20.3,336.6,1015.1,18.6,9.6,125.9,10.9,8,10.0,2024-02-23T06:53:59,2024-02-23T18:16:22,0.47,Clear,Clear conditions throughout the day.,clear-day,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-02-24,79.0,60.2,68.3,79.0,60.2,68.3,31.9,27.6,0.0,0,0.0,,0,0,20.8,16.4,269.1,1020.4,4.3,9.9,140.7,12.1,8,10.0,2024-02-24T06:52:58,2024-02-24T18:17:06,0.5,Clear,Clear conditions throughout the day.,clear-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,D0326"
Houston,2024-02-25,77.4,59.8,67.8,77.4,59.8,67.8,54.2,64.3,0.0,0,0.0,,0,0,30.4,17.7,197.9,1017.9,32.2,9.8,133.2,11.4,8,10.0,2024-02-25T06:51:57,2024-02-25T18:17:49,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
Houston,2024-02-26,77.4,66.0,70.5,77.4,66.0,70.5,65.3,84.0,0.0,0,0.0,,0,0,27.7,15.6,203.5,1014.2,79.0,7.1,107.9,9.2,7,10.0,2024-02-26T06:50:55,2024-02-26T18:18:31,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-02-27,81.2,68.0,73.7,82.0,68.0,73.8,65.7,77.5,0.0,0,0.0,,0,0,37.5,21.9,202.4,1008.9,71.5,6.6,114.9,9.9,7,5.0,2024-02-27T06:49:52,2024-02-27T18:19:14,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-02-28,71.8,52.0,65.2,71.8,52.0,65.2,48.1,58.9,0.0,0,0.0,,0,0,37.4,26.4,346.3,1016.7,72.5,7.1,77.8,6.8,4,10.0,2024-02-28T06:48:48,2024-02-28T18:19:55,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,D0326"
Houston,2024-02-29,55.8,50.3,52.4,55.8,50.3,52.4,32.3,46.3,0.0,0,0.0,,0,0,26.4,21.1,52.8,1023.1,100.0,9.7,25.4,2.3,2,10.0,2024-02-29T06:47:44,2024-02-29T18:20:37,0.68,Overcast,Cloudy skies throughout the day.,cloudy,"KHOU,72059400188,E6288,KMCJ,72244012918,D0326"
Houston,2024-03-01,71.8,48.9,58.3,71.8,44.3,58.1,45.0,61.7,0.0,0,0.0,,0,0,17.2,16.4,23.5,1018.6,79.9,9.3,144.5,12.5,8,10.0,2024-03-01T06:46:39,2024-03-01T18:21:18,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,E6288,KMCJ,72244012918,D0326"
Houston,2024-03-02,71.7,57.0,63.6,71.7,57.0,63.6,57.8,81.7,0.0,0,0.0,,0,0,23.0,14.7,149.2,1016.8,94.3,7.8,67.8,5.8,3,10.0,2024-03-02T06:45:34,2024-03-02T18:21:59,0.74,Overcast,Cloudy skies throughout the day.,cloudy,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-03-03,77.0,61.1,68.4,77.0,61.1,68.4,65.7,91.7,0.0,0,0.0,,0,0,23.0,14.5,141.3,1013.3,96.8,3.8,93.2,7.9,5,10.0,2024-03-03T06:44:27,2024-03-03T18:22:40,0.75,Overcast,Cloudy skies throughout the day.,cloudy,"KHOU,72059400188,E6288,KMCJ,72244012918,D0326"
Houston,2024-03-04,79.3,66.3,72.7,79.3,66.3,72.7,68.8,88.6,0.0,0,0.0,,0,0,19.7,15.9,157.7,1010.6,85.6,5.4,110.6,9.6,8,60.0,2024-03-04T06:43:20,2024-03-04T18:23:20,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,E6288,KMCJ,72244012918,D0326"
Houston,2024-03-05,86.2,66.5,73.6,84.9,66.5,73.8,67.0,82.7,0.002,100,4.17,rain,0,0,30.0,20.0,153.5,1009.5,72.0,5.6,162.0,13.9,8,60.0,2024-03-05T06:42:13,2024-03-05T18:24:00,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
Houston,2024-03-06,79.1,64.5,70.0,79.1,64.5,70.0,63.6,82.5,0.0,0,0.0,,0,0,19.7,12.9,145.8,1011.6,63.1,5.5,161.0,13.7,8,10.0,2024-03-06T06:41:05,2024-03-06T18:24:39,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-03-07,77.4,62.8,69.3,77.4,62.8,69.3,64.2,85.8,0.052,100,16.67,rain,0,0,31.3,22.7,143.5,1008.7,76.8,5.3,69.3,5.8,3,10.0,2024-03-07T06:39:57,2024-03-07T18:25:19,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-03-08,81.2,68.3,74.2,83.9,68.3,74.5,67.7,82.1,0.099,100,20.83,rain,0,0,21.9,19.8,78.7,1006.2,72.6,5.2,90.5,7.8,7,60.0,2024-03-08T06:38:48,2024-03-08T18:25:58,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-03-09,66.5,48.8,56.8,66.5,42.3,56.5,46.4,69.0,0.0,0,0.0,,0,0,36.6,21.8,341.9,1017.3,58.8,9.6,104.7,9.2,7,10.0,2024-03-09T06:37:39,2024-03-09T18:26:36,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-03-10,66.6,48.5,58.2,66.6,45.0,57.7,36.9,48.7,0.0,0,0.0,,0,0,16.1,10.9,24.4,1023.3,14.2,9.6,119.5,9.8,6,10.0,2024-03-10T07:36:29,2024-03-10T19:27:15,0.0,Clear,Clear conditions throughout the day.,clear-day,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-03-11,70.0,55.6,62.0,70.0,55.6,62.0,47.4,59.5,0.0,0,0.0,,0,0,24.2,15.1,134.2,1022.8,71.8,9.6,175.5,14.9,9,10.0,2024-03-11T07:35:19,2024-03-11T19:27:53,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-03-12,73.9,58.6,66.1,73.9,58.6,66.1,58.7,78.8,0.0,0,0.0,,0,0,26.4,20.1,154.8,1017.7,88.4,9.2,79.4,6.9,5,10.0,2024-03-12T07:34:09,2024-03-12T19:28:31,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,D0326"
